IP,target
1.0.147.11,1
1.0.149.63,1
1.0.149.82,1
1.0.255.41,1
1.1.246.209,1
1.10.168.30,1
1.11.201.18,1
1.116.154.54,1
1.116.17.86,1
1.116.19.115,1
1.116.212.58,1
1.116.22.225,1
1.116.251.138,1
1.116.28.223,1
1.116.67.176,1
1.116.67.182,1
1.116.67.6,1
1.116.68.137,1
1.116.69.106,1
1.116.69.189,1
1.116.70.202,1
1.116.70.80,1
1.116.73.156,1
1.116.73.55,1
1.116.75.159,1
1.116.75.185,1
1.116.75.216,1
1.116.78.93,1
1.116.79.69,1
1.116.81.104,1
1.116.81.41,1
1.116.83.41,1
1.116.87.166,1
1.116.87.203,1
1.116.96.145,1
1.116.96.207,1
1.116.96.30,1
1.119.131.102,1
1.119.144.186,1
1.119.153.110,1
1.119.166.234,1
1.129.106.90,1
1.129.21.179,1
1.129.25.35,1
1.129.26.150,1
1.129.26.33,1
1.129.26.44,1
1.13.1.56,1
1.13.5.130,1
1.13.7.23,1
1.14.141.40,1
1.14.142.5,1
1.14.142.52,1
1.14.15.205,1
1.14.153.212,1
1.14.19.164,1
1.14.5.159,1
1.14.5.60,1
1.15.0.49,1
1.15.100.43,1
1.15.102.211,1
1.15.102.234,1
1.15.103.39,1
1.15.104.123,1
1.15.104.150,1
1.15.108.179,1
1.15.112.233,1
1.15.113.89,1
1.15.115.135,1
1.15.115.156,1
1.15.118.49,1
1.15.119.13,1
1.15.127.14,1
1.15.13.216,1
1.15.130.226,1
1.15.133.192,1
1.15.133.216,1
1.15.133.246,1
1.15.137.10,1
1.15.137.210,1
1.15.138.174,1
1.15.138.45,1
1.15.139.240,1
1.15.141.59,1
1.15.143.136,1
1.15.144.122,1
1.15.145.93,1
1.15.146.208,1
1.15.147.137,1
1.15.147.20,1
1.15.148.215,1
1.15.150.10,1
1.15.150.87,1
1.15.151.103,1
1.15.152.246,1
1.15.155.251,1
1.15.164.32,1
1.15.172.103,1
1.15.172.197,1
1.15.174.132,1
1.15.174.167,1
1.15.175.127,1
1.15.176.14,1
1.15.180.182,1
1.15.180.239,1
1.15.182.116,1
1.15.183.15,1
1.15.183.51,1
1.15.184.222,1
1.15.184.81,1
1.15.186.85,1
1.15.188.125,1
1.15.220.205,1
1.15.221.18,1
1.15.223.133,1
1.15.226.174,1
1.15.229.173,1
1.15.229.95,1
1.15.232.233,1
1.15.233.157,1
1.15.233.89,1
1.15.251.235,1
1.15.251.60,1
1.15.254.46,1
1.15.255.226,1
1.15.39.179,1
1.15.39.219,1
1.15.44.233,1
1.15.50.174,1
1.15.50.207,1
1.15.50.218,1
1.15.54.102,1
1.15.57.145,1
1.15.58.114,1
1.15.59.227,1
1.15.6.129,1
1.15.61.210,1
1.15.62.15,1
1.15.65.22,1
1.15.65.232,1
1.15.67.125,1
1.15.68.251,1
1.15.72.153,1
1.15.72.159,1
1.15.73.182,1
1.15.75.141,1
1.15.76.123,1
1.15.76.31,1
1.15.77.232,1
1.15.78.72,1
1.15.81.179,1
1.15.83.234,1
1.15.85.193,1
1.15.86.33,1
1.15.86.71,1
1.15.94.51,1
1.162.12.44,1
1.163.104.24,1
1.179.137.10,1
1.179.185.50,1
1.179.186.174,1
1.180.72.22,1
1.186.197.188,1
1.186.199.220,1
1.192.89.28,1
1.193.160.115,1
1.2.201.195,1
1.2.229.209,1
1.20.103.52,1
1.20.203.102,1
1.20.203.64,1
1.20.235.109,1
1.20.81.161,1
1.201.161.32,1
1.202.72.10,1
1.202.76.226,1
1.203.103.3,1
1.203.76.98,1
1.204.60.228,1
1.204.65.63,1
1.210.137.102,1
1.214.220.227,1
1.214.224.155,1
1.214.245.27,1
1.215.227.138,1
